Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-02-28 00:00:00+05:30,3114.5803443320046,3114.5803443320046,2994.260911311105,3011.927001953125,148318,0.0,0.0
2024-02-29 00:00:00+05:30,3011.927158701005,3028.6950694117045,2983.2321568075836,3015.32080078125,156302,0.0,0.0
2024-03-01 00:00:00+05:30,3015.32081185052,3060.434296692984,3012.87530369784,3047.808349609375,77396,0.0,0.0
2024-03-04 00:00:00+05:30,3089.0793376202682,3092.0735986906598,3031.040674675288,3044.364990234375,109680,0.0,0.0
2024-03-05 00:00:00+05:30,3044.91376903171,3121.017899127152,3029.1938995365863,3037.627685546875,330334,0.0,0.0
2024-03-06 00:00:00+05:30,3048.107780694542,3048.1577337798453,2994.261035147196,3019.76220703125,223179,0.0,0.0
2024-03-07 00:00:00+05:30,3025.8005296265746,3099.0600151233457,3014.9711886260375,3053.946533203125,295715,0.0,0.0
2024-03-11 00:00:00+05:30,3055.1441971805416,3078.0002911895285,3014.272584734419,3044.015625,102055,0.0,0.0
2024-03-12 00:00:00+05:30,3063.078908238648,3063.078908238648,2988.3222928658006,3013.174560546875,120796,0.0,0.0
2024-03-13 00:00:00+05:30,3009.232152374808,3025.10163740049,2908.574986060603,2918.65576171875,309551,0.0,0.0
2024-03-14 00:00:00+05:30,2912.4677394488867,2999.500874734416,2893.7036556272374,2992.314697265625,140637,0.0,0.0
2024-03-15 00:00:00+05:30,3004.291811877262,3004.291811877262,2958.629331797605,2995.40869140625,109494,0.0,0.0
2024-03-18 00:00:00+05:30,2994.8598673953943,3025.20161389242,2957.4316059236144,3005.68896484375,94195,0.0,0.0
2024-03-19 00:00:00+05:30,3014.222730828736,3014.222730828736,2960.5256016574012,2991.7158203125,115608,0.0,0.0
2024-03-20 00:00:00+05:30,2989.22057296118,2989.22057296118,2926.4909520327933,2960.875,152712,0.0,0.0
2024-03-21 00:00:00+05:30,2967.9613575755984,3093.071662497119,2967.9613575755984,3080.146484375,162769,0.0,0.0
2024-03-22 00:00:00+05:30,3089.029377167167,3119.021940885439,3068.119502810189,3087.033203125,118363,0.0,0.0
